# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_8cca83e6560b8f875899"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "133Cs^+"
# neutral: "Xe"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Compiled Ko of Ellis et al., At. Data Nucl. Data Tables 22 (1978) 179."
# source_family: "compiled ko of ellis et al., at. data nucl. data tables 22 (1978) 179."
# comment: ""
# updated: "2011-12-12 11:27:31"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_018_47_47/003_mobility.txt"
# source_file_sha256: "57c7c52ca5a2c0ee24efcdf22f6ed98a71d8fb0da89c2137dbc7c03a7955022e"
reduced_electric_field_Td,reduced_transport_SI
1.000000000000e+01,2.359964766347e+21
1.200000000000e+01,2.359964766347e+21
1.500000000000e+01,2.359964766347e+21
2.000000000000e+01,2.359964766347e+21
2.500000000000e+01,2.359964766347e+21
3.000000000000e+01,2.386481224395e+21
4.000000000000e+01,2.386481224395e+21
5.000000000000e+01,2.412997682444e+21
6.000000000000e+01,2.439514140493e+21
8.000000000000e+01,2.492547056591e+21
1.000000000000e+02,2.545579972688e+21
1.200000000000e+02,2.625129346835e+21
1.500000000000e+02,2.731195179030e+21
2.000000000000e+02,2.837261011226e+21
2.500000000000e+02,2.837261011226e+21
3.000000000000e+02,2.784228095128e+21
4.000000000000e+02,2.651645804884e+21
5.000000000000e+02,2.519063514640e+21
6.000000000000e+02,2.412997682444e+21
